"id_village","latitude","longitude","human_population"
1,9.6997757,10.1935201,"large"
2,9.874951,10.1751401,"large"
3,9.7917259,9.8974789,"large"
4,10.0044356,10.0873405,"large"
5,10.0534183,10.2758113,"large"
6,10.2659051,10.334598,"large"
7,10.2377703,10.2831488,"large"
8,10.0748854,10.2627196,"large"
9,10.3132147,9.8344482,"large"
10,10.2971971,9.8338527,"large"
11,10.3257218,9.8480692,"large"
12,10.2972083,9.8467905,"large"
13,10.2014377,9.7191902,"large"
14,10.3068197,9.7773089,"large"
15,10.3227492,9.7890815,"large"
16,10.1752959,9.7006917,"large"
17,10.1615922,10.0945456,"large"
18,10.2192358,10.1460975,"large"
19,10.2702532,10.0221271,"large"
20,10.285716,9.8696598,"large"
21,10.2514605,10.0943194,"large"
22,10.1606898,10.0609203,"large"
23,10.2812577,9.9197696,"large"
24,9.9693915,9.888062,"large"
25,9.9934324,9.8829319,"large"
26,10.0475546,9.8720759,"large"
27,9.9750713,9.7864486,"large"
28,10.1049649,9.6611816,"large"
29,9.6539065,9.5873086,"large"
30,9.5574189,9.7548512,"large"
31,9.6034492,9.7888991,"large"
32,9.6597651,9.7050496,"large"
33,9.6063141,9.5674758,"large"
34,9.6197771,9.5357049,"large"
35,9.6439023,9.4972782,"large"
36,9.5981662,9.4954193,"large"
37,9.547482,9.5082637,"large"
38,11.7342867,10.9076678,"large"
39,11.7573145,10.9144504,"large"
40,11.7398203,10.795723,"large"
41,11.5887673,10.6499499,"large"
42,11.6250376,10.7191254,"large"
43,11.626427,10.7712393,"large"
44,11.5970356,10.8309529,"large"
45,11.5236995,10.8759937,"large"
46,11.5945629,10.8765644,"large"
47,11.0061014,10.4090968,"large"
48,11.2423663,10.5584665,"large"
49,11.1364324,10.4555786,"large"
50,11.147077,10.4635006,"large"
51,11.0552095,10.6032933,"large"
52,10.9371368,10.3948632,"large"
53,11.2462008,10.839891,"large"
54,11.4346237,10.8047544,"large"
55,11.3591249,10.6716175,"large"
56,11.3872531,10.6534883,"large"
57,10.0933915,9.5531969,"large"
58,10.1086206,9.514019,"large"
59,9.96794303,9.4278994,"large"
60,9.97576,9.5093275,"large"
61,9.9117791,9.541952,"large"
62,9.9695782,9.4729878,"large"
63,11.3591249,10.6716175,"large"
64,11.3872531,10.6534883,"large"
65,9.996301,9.3628488,"large"
66,10.0127986,9.3781435,"large"
67,9.7413958,8.824531,"large"
68,12.3186355,10.7448832,"medium"
69,12.2330698,10.4401421,"large"
70,12.2171856,10.4288207,"small"
71,12.1515325,10.4802523,"small"
72,12.1428258,10.4362485,"large"
73,11.7434819,10.5411268,"small"
74,11.9555893,10.3982306,"large"
75,11.9388614,10.7118948,"large"
76,11.8383864,10.8491686,"large"
77,12.1190681,10.7497397,"large"
78,10.6636315,9.7794199,"large"
79,10.7884661,10.3218935,"large"
80,10.5705135,9.7545825,"large"
81,10.6439572,9.834035,"large"
82,10.6666915,9.8389255,"large"
83,10.6110871,9.9265259,"large"
84,10.4634203,10.0233906,"large"
85,10.5256438,10.0939807,"large"
86,10.5622232,10.2323222,"large"
87,10.757133,10.2909994,"large"
88,11.3936816,10.2004694,"large"
89,11.3818967,10.1625621,"large"
90,11.3549874,10.1828933,"large"
91,11.2888175,10.2071591,"large"
92,11.5580622,10.2170396,"large"
93,11.5111687,10.2549679,"large"
94,11.4974141,10.2936299,"large"
95,11.5606736,10.3548346,"large"
96,11.8869507,10.0086341,"large"
97,11.9659454,10.0673996,"large"
98,11.8362086,10.1665807,"large"
99,11.859048,9.9676723,"large"
100,11.8437494,9.927301,"large"
101,11.7851777,9.9420237,"large"
102,11.7907293,9.9862058,"large"
103,11.8160197,9.9026469,"large"
104,11.7488646,9.7413316,"large"
105,11.7696657,9.7071867,"large"
106,11.7189925,9.9597231,"large"
107,11.7071805,9.9586328,"large"
108,11.6538648,10.0345524,"large"
109,11.5948065,9.8858793,"large"
110,11.5711255,9.8584379,"large"
111,11.6242839,9.8152793,"large"
112,11.6861646,9.9634326,"large"
113,11.7058192,9.850461,"large"
114,11.659277,10.1721139,"large"
115,11.5191793,10.4197508,"large"
116,11.5038007,10.4783554,"large"
117,11.5387382,10.557186,"large"
118,11.5839007,10.3607781,"large"
119,11.6490639,10.3213922,"large"
120,11.7454134,10.1055253,"large"
121,10.3508215,10.3590725,"large"
122,10.3015212,10.3676745,"large"
123,10.3262309,10.6342425,"large"
124,10.6385234,10.4921983,"large"
125,10.4927192,10.4532403,"large"
126,10.4143579,10.427328,"large"
127,10.2896325,10.4346377,"large"
128,10.3760556,10.396066,"large"
129,11.2703124,10.5428464,"large"
130,11.2854273,10.5137344,"large"
131,11.3078988,10.5188918,"large"
132,11.4313896,10.5994191,"large"
133,11.3598897,10.5221369,"large"
134,11.2806435,10.325986,"large"
135,11.33454,10.4329407,"medium"
136,11.4358198,10.3353673,"small"
137,11.4579617,10.3208691,"large"
138,11.4654682,10.4929396,"large"
139,11.4107566,10.4538684,"large"
140,11.1447569,9.1274275,"small"
141,11.0180424,8.9007493,"large"
142,11.0658295,8.8968835,"small"
143,11.1431773,9.0131809,"large"
144,11.1569672,9.0852578,"large"
145,11.070203,9.6271898,"small"
146,11.1279074,9.5676342,"small"
147,11.1832232,9.5821131,"small"
148,10.9352451,9.5993125,"large"
149,11.0778166,9.5613893,"large"
150,11.4329147,9.90207,"large"
151,11.4317474,9.8915466,"large"
152,11.4830915,9.9196656,"large"
153,11.5059214,9.9010229,"large"
154,11.459214,10.0434674,"large"
155,11.4251026,9.9572655,"large"
156,11.4006253,10.0212385,"large"
157,11.4119805,10.013325,"large"
158,11.3926221,10.1230401,"large"
159,11.4984783,10.0869619,"large"
160,9.7886757,9.6319512,"large"
161,9.7323872,9.7459133,"large"
162,9.9465125,9.6666884,"large"
163,9.8926985,9.5516615,"large"
164,9.7103161,9.3417485,"large"
165,9.7596815,9.3675235,"large"
166,9.7887094,9.4248479,"large"
167,9.8558561,9.3650535,"large"
168,9.8647665,9.4600623,"large"
169,9.4774326,9.4814382,"large"
170,9.5428422,9.442358,"large"
171,9.5360007,9.4396808,"large"
172,10.1395425,9.2899514,"large"
173,10.0064413,9.2629695,"large"
174,10.0264125,9.3352021,"large"
175,10.1673364,9.3133878,"large"
176,10.2263845,9.4016316,"large"
177,10.2405818,9.6380635,"large"
178,10.2838819,9.6467423,"large"
179,10.2259075,9.5093609,"large"
180,10.1904358,9.0630088,"large"
181,10.4458368,9.24368,"large"
182,10.4394794,9.2745443,"large"
183,10.2007223,9.0522496,"large"
184,10.3964688,9.0107953,"large"
185,10.2522125,9.019448,"large"
186,10.2575137,9.0004924,"large"
187,10.4382721,9.0225856,"large"
188,10.0544336,9.0616289,"large"
189,10.0654885,9.1234822,"large"
190,10.0398417,9.0818721,"medium"
191,10.0856038,9.0743186,"large"
192,10.1078138,9.0552737,"large"
193,10.0312208,9.0188656,"medium"
194,10.0621045,9.0011488,"large"
195,10.0416236,8.9949309,"large"
196,11.2228722,9.7630605,"large"
197,11.1012069,9.667677,"large"
198,11.177572,9.7640214,"large"
199,11.1654467,9.7537364,"large"
200,11.1304941,9.7424174,"large"
201,11.0598703,9.7418452,"large"
202,11.0701702,9.7977851,"large"
203,11.1325794,9.8367657,"large"
204,11.2147585,9.6775813,"large"
205,11.1937893,9.6471432,"large"
206,12.3348565,10.3528261,"large"
207,12.3899433,10.3887796,"large"
208,12.4191917,10.4135537,"large"
209,12.3712821,10.2762159,"large"
210,12.3542382,10.2381962,"large"
211,12.2835599,10.352572,"large"
212,12.4518728,10.7187581,"large"
213,12.3901884,10.5821463,"large"
214,12.3938683,10.4755843,"large"
215,12.0441376,10.2547626,"large"
216,11.9433618,10.3840215,"large"
217,12.0365498,10.3316679,"large"
218,12.1264782,10.2922854,"large"
219,12.1367219,10.3404855,"large"
220,11.9368698,10.2986255,"large"
