"id_village","id_date","id_sr","sr_number","ppr_status","pourcentage_ppr"
1,1,1,7000,"positive",NULL
2,2,2,7000,"positive",NULL
3,3,3,10000,"positive",NULL
4,4,4,25000,"positive",NULL
5,5,5,10000,"positive",NULL
6,6,6,15000,"positive",NULL
7,7,7,25000,"positive",NULL
8,8,8,10000,"positive",NULL
9,9,9,200,"positive",NULL
10,10,10,2000,"positive",NULL
11,11,11,4000,"positive",NULL
12,12,12,5000,"positive",NULL
13,13,13,800,"positive",NULL
14,14,14,2000,"positive",NULL
15,15,15,2500,"positive",NULL
16,16,16,3000,"positive",NULL
17,17,17,1500,"positive",NULL
18,18,18,2000,"positive",NULL
19,19,19,700,"positive",NULL
20,20,20,2000,"positive",NULL
21,21,21,5000,"positive",NULL
22,22,22,2000,"positive",NULL
23,23,23,2000,"positive",NULL
24,24,24,1500,"positive",NULL
25,25,25,500,"positive",NULL
26,26,26,10000,"positive",NULL
27,27,27,5000,"positive",NULL
28,28,28,3000,"positive",NULL
29,29,29,3000,"positive",NULL
30,30,30,3500,"positive",NULL
31,31,31,5000,"positive",NULL
32,32,32,5000,"positive",NULL
33,33,33,6000,"positive",NULL
34,34,34,5000,"positive",NULL
35,35,35,5000,"positive",NULL
36,36,36,5000,"positive",NULL
37,37,37,1200,"positive",NULL
38,38,38,2500,"positive",NULL
39,39,39,20000,"positive",NULL
40,40,40,15000,"positive",NULL
41,41,41,20000,"positive",NULL
42,42,42,17000,"positive",NULL
43,43,43,22000,"positive",NULL
44,44,44,10000,"positive",NULL
45,45,45,5000,"positive",NULL
46,46,46,20000,"positive",NULL
47,47,47,5000,"positive",NULL
48,48,48,5000,"positive",NULL
49,49,49,5000,"positive",NULL
50,50,50,5000,"positive",NULL
51,51,51,5000,"positive",NULL
52,52,52,5000,"positive",NULL
53,53,53,4000,"positive",NULL
54,54,54,5000,"positive",NULL
55,55,55,4000,"positive",NULL
56,56,56,5000,"positive",NULL
57,57,57,3000,"positive",NULL
58,58,58,1500,"positive",NULL
